name,artists,id,popularity
Bad Boy (with Young Thug),"['Juice WRLD', 'Young Thug']",43CIWpJaJHRcI4mUSjqgc2,84
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","['Ariana Grande', 'Doja Cat', 'Megan Thee Stallion']",3jjBPF4NDMCU51psU8JPpR,84
Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",2etHQJxIbV0soyPhelVs9Y,84
Señorita,"['Shawn Mendes', 'Camila Cabello']",0TK2YIli7K1leLovkQiNik,84
Lose Control,"['MEDUZA', 'Becky Hill', 'Goodboys']",7CHi4DtfK4heMlQaudCuHK,84
GREECE (feat. Drake),"['DJ Khaled', 'Drake']",35RJhm1pEovTBwnNR0zWad,84
Dancing in My Room,['347aidan'],6Pgmqg15yVexuOgtzuxwoX,84
Safaera,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']",2DEZmgHKAvm41k4J3R2E9Y,84
Rain On Me (with Ariana Grande),"['Lady Gaga', 'Ariana Grande']",24ySl2hOPGCDcxBxFIqWBu,84
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","['24kGoldn', 'Justin Bieber', 'J Balvin', 'iann dior']",6FuGJB290AQMAHTfjOYVaK,84
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",2Oycxb8QbPkpHTo8ZrmG0B,84
De Cora <3,"['Rauw Alejandro', 'J Balvin']",22Sh5dlwbERqJAq1fZk5b2,84
Hotel California - 2013 Remaster,['Eagles'],40riOy7x9W7GXjyGp4pjAv,83
Wonderful Christmastime - Edited Version / Remastered 2011,['Paul McCartney'],1SV1fxF65n9NhRHp3KlBuu,83
Billie Jean,['Michael Jackson'],5ChkMS8OtdzJeqyybCc9R5,83
Just the Two of Us (feat. Bill Withers),"['Grover Washington, Jr.', 'Bill Withers']",1ko2lVN0vKGUl9zrU0qSlT,83
Take on Me,['a-ha'],2WfaOiMkCvy7F5fcp2zZ8L,83
In the End,['Linkin Park'],60a0Rd6pjrkxjPbaKzXjfq,83
'Till I Collapse,"['Eminem', 'Nate Dogg']",4xkOaSrkexMciUUogZKVTS,83
The Scientist,['Coldplay'],75JFxkI2RXiU7L9VXzMkle,83
Happy Xmas (War Is Over) - Remastered 2010,"['John Lennon', 'Yoko Ono']",27RYrbL6S02LNVhDWVl38b,83
When I Was Your Man,['Bruno Mars'],0nJW01T7XtvILxQgC5J7Wh,83
Thinking out Loud,['Ed Sheeran'],34gCuhDGsG4bRPIf9bb02f,83
Photograph,['Ed Sheeran'],1HNkqx9Ahdgi1Ixy2xkKkL,83
Stressed Out,['Twenty One Pilots'],3CRDbSIZ4r5MsZ0YwxuEkn,83
Starboy,"['The Weeknd', 'Daft Punk']",7MXVkk9YMctZqd1Srtv4MB,83
Fuck Love (feat. Trippie Redd),"['XXXTENTACION', 'Trippie Redd']",7AQim7LbvFVZJE3O8TYgf2,83
XO Tour Llif3,['Lil Uzi Vert'],7GX5flRQZVHRAGd6B4TmDO,83
Thunder,['Imagine Dragons'],1zB4vmk8tFRmM9UULNzbLB,83
Falling Down - Bonus Track,"['Lil Peep', 'XXXTENTACION']",4jvjzW7Hm0yK4LvvE0Paz9,83
the remedy for a broken heart (why am I so in love),['XXXTENTACION'],4UKCKdYiLN6IMA5ZESUTL7,83
Better Now,['Post Malone'],7dt6x5M1jzdTEt8oCbisTK,83
God's Plan,['Drake'],6DCZcSspjsKoFjzjrWoCdn,83
High Hopes,['Panic! At The Disco'],1rqqCSm0Qe4I9rUvWncaom,83
I Like Me Better,['Lauv'],2P91MQbaiQOfbiz9VqhqKQ,83
Bandit (with YoungBoy Never Broke Again),"['Juice WRLD', 'YoungBoy Never Broke Again']",6Gg1gjgKi2AK4e0qzsR7sd,83
Ballin' (with Roddy Ricch),"['Mustard', 'Roddy Ricch']",3QzAOrNlsabgbMwlZt7TAY,83
Wow.,['Post Malone'],7xQAfvXzm3AkraOtGPWIZg,83
OUT WEST (feat. Young Thug),"['JACKBOYS', 'Travis Scott', 'Young Thug']",6gi6y1xwmVszDWkUqab1qw,83
Bruises,['Lewis Capaldi'],4Of7rzpRpV1mWRbhp5rAqG,83
This City,['Sam Fischer'],3H3r2nKWa3Yk5gt8xgmsEt,83
Sucker,['Jonas Brothers'],22vgEDb5hykfaTwLuskFGD,83
LA CANCIÓN,"['J Balvin', 'Bad Bunny']",0fea68AdmYNygeTGI4RC18,83
Cry Baby (feat. DaBaby),"['Megan Thee Stallion', 'DaBaby']",4aarlAfLKVCTxUDNgbwhjH,83
PRACTICE,['DaBaby'],4Z5FyQlevoHoa5FsIVKZju,83
Tequila Shots,['Kid Cudi'],30KctD1WsHKTIYczXjip5a,83
Moonwalking in Calabasas (feat. Blueface) - Remix,"['DDG', 'Blueface']",7o4gBbTM6UBLkOYPw9xMCz,83
